[Log] stdout/stderr -> logs\20260602_110340\main_tracking_v9_20260602_110340.log
[FieldLog] enabled: C:\Users\cv1124\dym\gimbal\logs\20260602_110340
[Config] DEVICE_HEADING_DEG=180.00 (map north=0, east=90, south=180)
[Config] UI_REAL_LASER_ONLY=True
[GPS] Thread started, periodic UI updates enabled on COM12@115200, fix_timeout=5s, ui_interval=10.0s
[Init] Connecting to Gimbal at COM14...
[GT06Z] Driver Ready on COM14.
[Adapter] GT06Z 云台已连接: COM14
[GPS] GGA fix_quality=1, num_sats=23, hdop=0.6, lat=30.4081127305, lon=104.0886426905
[LaserThread] 激光读取线程已启动
[Init] Real laser enabled on COM15
[Init] UI distance priority: laser -> mono; UDP distance disabled
[Laser] start_measurement mode=continuous
[Init] Queue gimbal initial posture: Az=59.30°, El=0.00°
[GimbalThread] 控制线程已启动
[Net] Listening RK3588 on 8888...
=== System V9.0 (Predictive Tracking & Scheduling) Running ===
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.68s, meas=1, tracks=4, valid=0, master=61
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.68s, meas=1, tracks=4, valid=0, master=61
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.22s, meas=1, tracks=3, valid=0, master=61
[GPS] GGA fix_quality=1, num_sats=27, hdop=0.6, lat=30.408109844833334, lon=104.08863658866666
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.89s, meas=1, tracks=3, valid=0, master=61
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.90s, meas=1, tracks=3, valid=0, master=61
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.90s, meas=1, tracks=3, valid=0, master=61
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.90s, meas=1, tracks=3, valid=0, master=61
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.15s, meas=1, tracks=3, valid=0, master=61
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.15s, meas=1, tracks=1, valid=1, master=65
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.15s, meas=1, tracks=1, valid=1, master=65
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.16s, meas=1, tracks=1, valid=1, master=65
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.04s, meas=1, tracks=1, valid=1, master=65
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.47s, meas=1, tracks=3, valid=0, master=65
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408108922666667, lon=104.08863652666666
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.47s, meas=1, tracks=3, valid=0, master=65
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.47s, meas=1, tracks=3, valid=0, master=65
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.47s, meas=1, tracks=3, valid=0, master=65
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.31s, meas=1, tracks=3, valid=0, master=65
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.31s, meas=1, tracks=3, valid=0, master=65
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.31s, meas=1, tracks=3, valid=0, master=65
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.22s, meas=1, tracks=2, valid=0, master=65
[LIVE] udp=3.0/s, objs=5.0/s, last_udp=0.08s, meas=3, tracks=4, valid=0, master=65
[LIVE] udp=5.0/s, objs=5.0/s, last_udp=0.11s, meas=2, tracks=4, valid=2, master=66
