timestamp,seq,mode,board,cam,meas_idx,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,raw_bbox_w,raw_bbox_h,clipped_bbox_x1,clipped_bbox_y1,clipped_bbox_x2,clipped_bbox_y2,clipped_bbox_w,clipped_bbox_h,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_cx,bbox_cy,bbox_w,bbox_h,is_edge_bbox,visible_ratio,mono_dist,meas_az,meas_el
1780454386.200697,,,BOARD_3,1,1,1727.000,1176.000,1975.000,1356.000,248.000,180.000,1727.000,1176.000,1975.000,1356.000,248.000,180.000,1727.000,1176.000,1975.000,1356.000,1851.000,1266.000,248.000,180.000,0,1.000000,25.150000,19.377647,18.147500
1780454386.437127,,,BOARD_3,1,0,1648.000,1113.000,2112.000,1473.000,464.000,360.000,1648.000,1113.000,2112.000,1473.000,464.000,360.000,1648.000,1113.000,2112.000,1473.000,1880.000,1293.000,464.000,360.000,0,1.000000,13.440000,19.509808,18.023750
1780454386.437127,,,BOARD_3,1,1,1657.000,1121.000,2121.000,1481.000,464.000,360.000,1657.000,1121.000,2121.000,1481.000,464.000,360.000,1657.000,1121.000,2121.000,1481.000,1889.000,1301.000,464.000,360.000,0,1.000000,13.440000,19.550824,17.987083
1780454386.437127,,,BOARD_3,1,2,1665.000,1129.000,2129.000,1489.000,464.000,360.000,1665.000,1129.000,2129.000,1489.000,464.000,360.000,1665.000,1129.000,2129.000,1489.000,1897.000,1309.000,464.000,360.000,0,1.000000,13.440000,19.587282,17.950417
1780454386.731939,,,BOARD_3,1,0,1615.000,1078.000,2079.000,1438.000,464.000,360.000,1615.000,1078.000,2079.000,1438.000,464.000,360.000,1615.000,1078.000,2079.000,1438.000,1847.000,1258.000,464.000,360.000,0,1.000000,13.440000,19.359418,18.184167
1780454386.731939,,,BOARD_3,1,1,1613.000,1075.000,2077.000,1435.000,464.000,360.000,1613.000,1075.000,2077.000,1435.000,464.000,360.000,1613.000,1075.000,2077.000,1435.000,1845.000,1255.000,464.000,360.000,0,1.000000,13.440000,19.350303,18.197917
1780454387.133398,,,BOARD_3,1,0,1620.000,1078.000,2084.000,1438.000,464.000,360.000,1620.000,1078.000,2084.000,1438.000,464.000,360.000,1620.000,1078.000,2084.000,1438.000,1852.000,1258.000,464.000,360.000,0,1.000000,13.440000,19.382204,18.184167
1780454387.334726,,,BOARD_3,1,0,1618.000,1080.000,2082.000,1440.000,464.000,360.000,1618.000,1080.000,2082.000,1440.000,464.000,360.000,1618.000,1080.000,2082.000,1440.000,1850.000,1260.000,464.000,360.000,0,1.000000,13.440000,19.373090,18.175000
1780454387.334726,,,BOARD_3,1,1,1617.000,1080.000,2081.000,1440.000,464.000,360.000,1617.000,1080.000,2081.000,1440.000,464.000,360.000,1617.000,1080.000,2081.000,1440.000,1849.000,1260.000,464.000,360.000,0,1.000000,13.440000,19.368532,18.175000
1780454387.676373,,,BOARD_3,1,0,1622.000,1080.000,2086.000,1440.000,464.000,360.000,1622.000,1080.000,2086.000,1440.000,464.000,360.000,1622.000,1080.000,2086.000,1440.000,1854.000,1260.000,464.000,360.000,0,1.000000,13.440000,19.391319,18.175000
1780454387.676373,,,BOARD_3,1,1,1622.000,1080.000,2086.000,1440.000,464.000,360.000,1622.000,1080.000,2086.000,1440.000,464.000,360.000,1622.000,1080.000,2086.000,1440.000,1854.000,1260.000,464.000,360.000,0,1.000000,13.440000,19.391319,18.175000
1780454387.961619,,,BOARD_3,1,0,1617.000,1079.000,2081.000,1439.000,464.000,360.000,1617.000,1079.000,2081.000,1439.000,464.000,360.000,1617.000,1079.000,2081.000,1439.000,1849.000,1259.000,464.000,360.000,0,1.000000,13.440000,19.368532,18.179583
1780454387.961619,,,BOARD_3,1,1,1616.000,1079.000,2080.000,1439.000,464.000,360.000,1616.000,1079.000,2080.000,1439.000,464.000,360.000,1616.000,1079.000,2080.000,1439.000,1848.000,1259.000,464.000,360.000,0,1.000000,13.440000,19.363975,18.179583
1780454388.276747,,,BOARD_3,1,0,1616.000,1082.000,2080.000,1442.000,464.000,360.000,1616.000,1082.000,2080.000,1442.000,464.000,360.000,1616.000,1082.000,2080.000,1442.000,1848.000,1262.000,464.000,360.000,0,1.000000,13.440000,19.363975,18.165833
1780454388.276747,,,BOARD_3,1,1,1615.000,1083.000,2079.000,1443.000,464.000,360.000,1615.000,1083.000,2079.000,1443.000,464.000,360.000,1615.000,1083.000,2079.000,1443.000,1847.000,1263.000,464.000,360.000,0,1.000000,13.440000,19.359418,18.161250
1780454388.508179,,,BOARD_3,1,0,1615.000,1083.000,2079.000,1443.000,464.000,360.000,1615.000,1083.000,2079.000,1443.000,464.000,360.000,1615.000,1083.000,2079.000,1443.000,1847.000,1263.000,464.000,360.000,0,1.000000,13.440000,19.359418,18.161250
1780454389.106201,,,BOARD_3,1,0,1737.000,1036.000,1973.000,1512.000,236.000,476.000,1737.000,1036.000,1973.000,1512.000,236.000,476.000,1737.000,1036.000,1973.000,1512.000,1855.000,1274.000,236.000,476.000,0,1.000000,26.430000,19.395876,18.110833
1780454389.106201,,,BOARD_3,1,1,1735.000,1037.000,1971.000,1513.000,236.000,476.000,1735.000,1037.000,1971.000,1513.000,236.000,476.000,1735.000,1037.000,1971.000,1513.000,1853.000,1275.000,236.000,476.000,0,1.000000,26.430000,19.386761,18.106250
1780454389.438375,,,BOARD_3,1,0,1766.000,1227.000,1898.000,1319.000,132.000,92.000,1766.000,1227.000,1898.000,1319.000,132.000,92.000,1766.000,1227.000,1898.000,1319.000,1832.000,1273.000,132.000,92.000,0,1.000000,47.250000,19.291058,18.115417
